,station_id,description,lon,lat,height
123,71827,LA GRANDE RIVIERE,-77.7,53.63,195.0
124,71877,CALGARY,-114.02,51.12,1077.0
125,71917,EUREKA UA N.W.T.,-85.93,79.98,10.0
126,71932,UXBRIDGE WEST ON,-79.17,44.1,325.0
127,72202,MIAMI,-80.28,25.82,3.0
128,72208,CHARLESTON,-80.03,32.9,14.0
129,72219,ATLANTA GA.,-84.42,33.65,312.0
130,72243,HOUSTON TX.,-95.35,29.97,30.0
131,72259,DALLAS,-97.03,32.9,182.0
132,72270,EL PASO INT.,-106.4,31.8,1206.0
133,72295,LOS ANGELES,-118.4,33.93,38.0
134,72315,"ASHEVILLE/MUN.,NC.",-82.53,35.43,659.0
135,72353,OKLAHOMA CITY,-97.6,35.38,395.0
136,72376,FLAGSTAFF AZ.,-111.82,35.23,2192.0
137,72405,WASHINGTON,-77.03,38.85,5.0
138,72411,ROANOKE/MUN. VA.,-79.97,37.32,358.0
139,72438,INDIANAPOLIS IN/W.C.,-86.27,39.73,246.0
140,72488,RENO,-119.78,39.5,1344.0
141,72503,NEW YORK,-73.9,40.77,7.0
142,72524,CLEVELAND,-81.87,41.42,241.0
143,72546,DES MOINES/MUN. IA.,-93.65,41.53,294.0
144,72570,"CRAIG-MOFFAT,CO.",-107.52,40.5,1915.0
145,72617,BURLINGTON/INT. VT.,-73.15,44.47,104.0
146,72681,BOISE/MUN. ID.,-116.22,43.57,871.0
147,72753,FARGO/HECTOR F. ND.,-96.8,46.9,274.0
148,72793,SEATTLE,-122.3,47.45,130.0
149,76548,TAMPICO,-97.85,22.22,9.0
150,76680,MEXICO CITY,-99.18,19.4,2309.0
151,78016,BERMUDA NAVAL,-64.68,32.37,6.0
152,78388,MONT.BAY-SANGSTER,-77.92,18.5,1.0
153,78479,PUNTA CANA,-68.37,18.57,12.0
154,78583,BELIZE AIRPORT,-88.3,17.53,5.0
155,78767,PUERTO LIMON,-83.05,10.0,5.0
156,78925,LE LAMENTIN,-61.0,14.6,5.0
157,78970,TRINIDAD PIARCO INT.,-61.35,10.6,17.0
158,80028,BARRANQUILLA/ER.COR.,-74.78,10.88,14.0
159,80259,CALI/ALFONSO B.,-76.38,3.55,961.0
160,81408,GEORGES DE L'OYAPOCK,-51.8,3.88,6.0
161,82579,TERESINA/INTL.,-42.82,-5.05,86.0
162,82993,MACEIO,-35.78,-9.52,117.0
163,83378,BRASILIA/INTL.,-47.93,-15.87,1061.0
164,83579,ARAXA,-46.93,-19.57,1004.0
165,83780,SAO PAULO,-46.65,-23.62,802.0
166,84008,SAN CRISTOBAL,-89.6,-0.9,6.0
167,84401,PIURA,-80.6,-5.18,49.0
168,85201,LA PAZ/ALTO,-68.18,-16.52,4058.0
169,85442,ANTOFAGASTA,-70.43,-23.43,135.0
170,85682,CONCEPCION,-73.07,-36.77,12.0
171,86218,ASUNCION,-57.63,-25.27,101.0
172,87289,PASO DE LOS LIBRES,-57.15,-29.68,69.0
173,87509,SAN RAFAEL AERO,-68.4,-34.58,745.0
174,87750,BAHIA BLANCA,-62.17,-38.73,75.0
175,87938,USHUAIA,-68.32,-54.8,16.0
176,89004,SANAE-AWS,-2.83,-71.67,815.0
177,89059,BERNARDO O'HIGGINS,-57.9,-63.32,10.0
178,89564,MAWSON,62.88,-67.6,10.0
179,89642,DUMONT D'URVILLE,140.02,-66.67,41.0
180,91285,"HILO/GEN.,LYMAN.",-155.07,19.72,9.0
181,91568,ANEITYUM,169.77,-20.23,6.0
182,91843,RAROTONGA,-159.82,-21.2,7.0
183,93110,AUCKLAND AERO,174.82,-37.02,7.0
184,93781,CHRISTCHURCH AERO,172.53,-43.48,38.0
185,94131,TINDAL,132.38,-14.52,135.0
186,94294,TOWNSVILLE,146.77,-19.25,5.0
187,94346,LONGREACH AIRPORT,144.28,-23.43,192.0
188,94578,BRISBANE,153.1,-27.38,4.0
189,94653,CEDUNA (AIRPORT M.O.,133.7,-32.13,15.0
190,94767,SYDNEY AIRPORT,151.18,-33.95,6.0
191,94828,PORTLAND,141.47,-38.32,82.0
192,94975,HOBART,147.48,-42.83,4.0
193,95492,THAGOMINDAH,143.82,-27.98,132.0
194,96163,PADANG/TABING,100.35,-0.88,3.0
195,96491,SANDAKAN,118.07,5.9,12.0
196,96995,CHRISTMAS ISLAND,105.68,-10.45,279.0
